,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
400,High Loan Amount,14.0,9.0,3.0,2.0,2.0,10.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,400,3,government,yes,gold,2,1,condominium,Selangor,7,23.0,Accept
401,Low Loan Amount,15.0,15.0,3.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,401,3,government,no,gold,2,1,condominium,Selangor,7,30.0,Reject
402,Low Loan Amount,15.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,402,3,government,yes,normal,2,1,condominium,Selangor,6,24.0,Reject
403,Average Loan Amount,11.0,9.0,6.0,2.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,403,3,government,no,normal,2,2,condominium,Selangor,8,20.0,Accept
404,High Loan Amount,20.0,9.0,6.0,2.0,2.0,10.0,3.0,Low Salary,Average Sum of Loan,High Income for Join Application,404,3,government,yes,gold,2,2,condominium,Selangor,9,29.0,Accept
405,Low Loan Amount,17.0,9.0,6.0,2.0,2.0,12.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,405,3,government,no,normal,2,2,condominium,Selangor,7,26.0,Accept
406,Average Loan Amount,12.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,406,3,government,yes,gold,2,1,condominium,Selangor,6,21.0,Accept
407,Average Loan Amount,15.0,9.0,3.0,2.0,1.0,12.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,407,3,government,no,normal,2,1,condominium,Selangor,7,24.0,Reject
408,Average Loan Amount,14.0,5.0,3.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,408,3,government,yes,platinum,2,3,condominium,Selangor,8,19.0,Accept
409,High Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,409,3,government,no,platinum,2,1,condominium,Selangor,9,28.0,Accept
410,Average Loan Amount,17.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,410,3,government,yes,normal,2,1,condominium,Selangor,8,26.0,Accept
411,High Loan Amount,22.0,9.0,4.0,2.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,411,3,government,no,normal,2,1,condominium,Selangor,6,31.0,Accept
412,Low Loan Amount,18.0,5.0,6.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,412,3,government,yes,gold,2,2,condominium,Selangor,9,23.0,Accept
413,Average Loan Amount,11.0,10.0,6.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,413,3,government,no,normal,2,3,condominium,Selangor,6,21.0,Accept
414,Low Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,414,3,government,yes,normal,2,2,condominium,Selangor,8,28.0,Accept
415,Average Loan Amount,24.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,415,3,government,no,normal,2,2,condominium,Selangor,7,33.0,Accept
416,Average Loan Amount,13.0,12.0,6.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,416,3,government,yes,platinum,2,2,condominium,Selangor,7,25.0,Accept
417,Average Loan Amount,17.0,15.0,6.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,417,3,government,no,gold,2,1,condominium,Selangor,9,32.0,Accept
418,Low Loan Amount,22.0,12.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,418,3,government,yes,gold,2,1,condominium,Selangor,7,34.0,Accept
419,Average Loan Amount,21.0,9.0,6.0,2.0,2.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,419,3,government,no,gold,2,3,condominium,Selangor,7,30.0,Reject
420,High Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,420,3,government,yes,normal,2,3,condominium,Selangor,8,30.0,Accept
421,Low Loan Amount,11.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,421,3,government,no,normal,2,2,condominium,Selangor,9,20.0,Reject
422,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,422,3,government,yes,normal,2,2,condominium,Selangor,9,30.0,Reject
423,Low Loan Amount,21.0,15.0,6.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,423,3,government,no,gold,2,1,condominium,Selangor,6,36.0,Accept
424,High Loan Amount,20.0,15.0,3.0,2.0,1.0,11.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,424,3,government,yes,normal,2,3,condominium,Selangor,8,35.0,Reject
425,Average Loan Amount,19.0,15.0,3.0,2.0,2.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,425,3,government,no,gold,2,2,condominium,Selangor,6,34.0,Accept
426,Average Loan Amount,23.0,9.0,6.0,2.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,426,3,government,yes,normal,2,1,condominium,Selangor,9,32.0,Reject
427,High Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,427,3,government,no,normal,2,2,condominium,Selangor,8,28.0,Reject
428,High Loan Amount,22.0,15.0,6.0,2.0,1.0,10.0,3.0,Low Salary,Average Sum of Loan,Average Income for Join Application,428,3,government,yes,normal,2,1,condominium,Selangor,6,37.0,Accept
429,High Loan Amount,13.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,429,3,government,no,normal,2,3,condominium,Selangor,8,22.0,Accept
430,Low Loan Amount,16.0,13.0,6.0,2.0,2.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,430,3,government,yes,normal,2,3,condominium,Selangor,9,29.0,Accept
431,High Loan Amount,10.0,15.0,3.0,2.0,2.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,431,3,government,no,gold,2,1,condominium,Selangor,8,25.0,Accept
432,Average Loan Amount,20.0,9.0,6.0,2.0,1.0,11.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,432,3,government,yes,normal,2,1,condominium,Selangor,9,29.0,Accept
433,Low Loan Amount,14.0,9.0,6.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,433,3,government,no,normal,2,3,condominium,Selangor,7,23.0,Accept
434,High Loan Amount,10.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,434,3,government,yes,gold,2,1,condominium,Selangor,8,19.0,Accept
435,Low Loan Amount,24.0,9.0,4.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,435,3,government,no,normal,2,2,condominium,Selangor,6,33.0,Accept
436,Average Loan Amount,20.0,15.0,6.0,2.0,1.0,10.0,3.0,Low Salary,Average Sum of Loan,Low Income for Join Application,436,3,government,yes,normal,2,1,condominium,Selangor,9,35.0,Accept
437,High Loan Amount,19.0,16.0,4.0,2.0,1.0,12.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,437,3,government,no,normal,2,2,condominium,Selangor,9,35.0,Accept
438,Low Loan Amount,10.0,9.0,3.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,438,3,government,yes,normal,2,2,condominium,Selangor,6,19.0,Accept
439,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,439,3,government,no,normal,2,2,condominium,Selangor,6,30.0,Reject
440,Average Loan Amount,23.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,440,3,government,yes,normal,2,1,condominium,Selangor,8,32.0,Accept
441,Average Loan Amount,24.0,15.0,6.0,2.0,1.0,11.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,441,3,government,no,normal,2,2,condominium,Selangor,9,39.0,Accept
442,Low Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,442,3,government,yes,normal,2,1,condominium,Selangor,7,28.0,Reject
443,Low Loan Amount,13.0,15.0,3.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Low Income for Join Application,443,3,government,no,normal,2,2,condominium,Selangor,9,28.0,Accept
444,Average Loan Amount,22.0,9.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,444,3,government,yes,gold,2,1,condominium,Selangor,8,31.0,Accept
445,Average Loan Amount,18.0,9.0,6.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,445,3,government,no,gold,2,1,condominium,Selangor,6,27.0,Accept
446,Low Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,446,3,government,yes,normal,2,1,condominium,Selangor,6,28.0,Accept
447,High Loan Amount,17.0,9.0,6.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,447,3,government,no,platinum,2,1,condominium,Selangor,7,26.0,Reject
448,High Loan Amount,12.0,9.0,6.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,448,3,government,yes,gold,2,3,condominium,Selangor,7,21.0,Accept
449,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,449,3,government,no,gold,2,1,condominium,Selangor,6,30.0,Reject
450,Average Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,450,3,government,yes,normal,2,2,condominium,Selangor,7,28.0,Reject
451,High Loan Amount,17.0,15.0,3.0,2.0,2.0,10.0,2.0,Low Salary,Low Sum of Loan,Average Income for Join Application,451,3,government,no,gold,2,3,condominium,Selangor,7,32.0,Accept
452,Average Loan Amount,23.0,15.0,6.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,452,3,government,yes,normal,2,3,condominium,Selangor,8,38.0,Accept
453,Average Loan Amount,21.0,9.0,6.0,2.0,2.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,453,3,government,no,gold,2,1,condominium,Selangor,6,30.0,Reject
454,Average Loan Amount,16.0,12.0,6.0,2.0,3.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,454,3,government,yes,platinum,2,3,condominium,Selangor,9,28.0,Accept
455,Average Loan Amount,15.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,455,3,government,no,normal,2,1,condominium,Selangor,6,24.0,Accept
456,High Loan Amount,18.0,9.0,6.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,456,3,government,yes,normal,2,3,condominium,Selangor,6,27.0,Accept
457,Low Loan Amount,17.0,9.0,6.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,457,3,government,no,normal,2,1,condominium,Selangor,9,26.0,Accept
458,High Loan Amount,19.0,9.0,4.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,458,3,government,yes,gold,2,3,condominium,Selangor,6,28.0,Accept
459,Low Loan Amount,24.0,9.0,4.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,459,3,government,no,normal,2,2,condominium,Selangor,7,33.0,Accept
460,High Loan Amount,12.0,14.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,Low Income for Join Application,460,3,government,yes,gold,2,1,condominium,Selangor,6,26.0,Reject
461,Average Loan Amount,15.0,10.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,461,3,government,no,normal,2,1,condominium,Selangor,9,25.0,Accept
462,High Loan Amount,10.0,9.0,6.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,462,3,government,yes,platinum,2,3,condominium,Selangor,9,19.0,Accept
463,Low Loan Amount,21.0,14.0,6.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,463,3,government,no,normal,2,2,condominium,Selangor,7,35.0,Accept
464,Average Loan Amount,20.0,9.0,6.0,2.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,464,3,government,yes,gold,2,1,condominium,Selangor,6,29.0,Accept
465,Average Loan Amount,16.0,15.0,6.0,2.0,2.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,465,3,government,no,gold,2,3,condominium,Selangor,6,31.0,Accept
466,Average Loan Amount,17.0,15.0,3.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,466,3,government,yes,normal,2,3,condominium,Selangor,7,32.0,Accept
467,High Loan Amount,19.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,467,3,government,no,gold,2,3,condominium,Selangor,8,28.0,Accept
468,Low Loan Amount,12.0,10.0,6.0,2.0,1.0,10.0,3.0,High Salary,Low Sum of Loan,High Income for Join Application,468,3,government,yes,normal,2,1,condominium,Selangor,6,22.0,Accept
469,High Loan Amount,19.0,9.0,4.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,469,3,government,no,platinum,2,1,condominium,Selangor,8,28.0,Accept
470,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,470,3,government,yes,normal,2,2,condominium,Selangor,8,30.0,Accept
471,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,11.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,471,3,government,no,normal,2,1,condominium,Selangor,8,30.0,Reject
472,Average Loan Amount,13.0,9.0,6.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,472,3,government,yes,normal,2,2,condominium,Selangor,7,22.0,Accept
473,Low Loan Amount,10.0,9.0,6.0,2.0,2.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,473,3,government,no,normal,2,1,condominium,Selangor,6,19.0,Accept
474,Low Loan Amount,22.0,15.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,474,3,government,yes,normal,2,2,condominium,Selangor,9,37.0,Accept
475,Low Loan Amount,14.0,13.0,6.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,475,3,government,no,platinum,2,3,condominium,Selangor,6,27.0,Accept
476,Average Loan Amount,22.0,9.0,6.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,476,3,government,yes,gold,2,3,condominium,Selangor,6,31.0,Accept
477,Average Loan Amount,20.0,8.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,477,3,government,no,normal,2,1,condominium,Selangor,6,28.0,Accept
478,Average Loan Amount,13.0,9.0,6.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,478,3,government,yes,normal,2,3,condominium,Selangor,8,22.0,Accept
479,Low Loan Amount,12.0,16.0,6.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,479,3,government,no,normal,2,3,condominium,Selangor,7,28.0,Accept
480,High Loan Amount,18.0,12.0,3.0,2.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,High Income for Join Application,480,3,government,yes,gold,2,1,condominium,Selangor,7,30.0,Accept
481,Average Loan Amount,22.0,14.0,6.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,481,3,government,no,normal,2,1,condominium,Selangor,7,36.0,Accept
482,Low Loan Amount,17.0,15.0,6.0,2.0,2.0,12.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,482,3,government,yes,normal,2,2,condominium,Selangor,9,32.0,Accept
483,Average Loan Amount,17.0,15.0,6.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,483,3,government,no,normal,2,1,condominium,Selangor,6,32.0,Accept
484,High Loan Amount,18.0,17.0,6.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,484,3,government,yes,normal,2,3,condominium,Selangor,8,35.0,Accept
485,Low Loan Amount,18.0,8.0,3.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,485,3,government,no,normal,2,3,condominium,Selangor,7,26.0,Accept
486,Low Loan Amount,24.0,9.0,6.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,486,3,government,yes,gold,2,1,condominium,Selangor,8,33.0,Accept
487,Average Loan Amount,24.0,9.0,6.0,2.0,2.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,487,3,government,no,gold,2,3,condominium,Selangor,8,33.0,Accept
488,Average Loan Amount,11.0,6.0,6.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,488,3,government,yes,normal,2,1,condominium,Selangor,8,17.0,Accept
489,Average Loan Amount,18.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,489,3,government,no,normal,2,2,condominium,Selangor,8,27.0,Reject
490,Low Loan Amount,24.0,9.0,6.0,2.0,2.0,11.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,490,3,government,yes,normal,2,1,condominium,Selangor,6,33.0,Accept
491,Average Loan Amount,12.0,9.0,6.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,491,3,government,no,gold,2,2,condominium,Selangor,6,21.0,Accept
492,Average Loan Amount,23.0,9.0,6.0,2.0,1.0,10.0,3.0,Low Salary,Average Sum of Loan,Average Income for Join Application,492,3,government,yes,gold,2,1,condominium,Selangor,6,32.0,Accept
493,Low Loan Amount,14.0,13.0,6.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,493,3,government,no,platinum,2,2,condominium,Selangor,8,27.0,Accept
494,Average Loan Amount,15.0,9.0,3.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,494,3,government,yes,gold,2,1,condominium,Selangor,8,24.0,Accept
495,Average Loan Amount,21.0,9.0,6.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,495,3,government,no,gold,2,3,condominium,Selangor,8,30.0,Accept
496,High Loan Amount,18.0,9.0,6.0,2.0,1.0,10.0,3.0,Low Salary,Low Sum of Loan,Average Income for Join Application,496,3,government,yes,normal,2,3,condominium,Selangor,9,27.0,Accept
497,High Loan Amount,22.0,9.0,6.0,2.0,2.0,10.0,3.0,High Salary,Low Sum of Loan,Average Income for Join Application,497,3,government,no,normal,2,3,condominium,Selangor,9,31.0,Reject
498,High Loan Amount,19.0,9.0,6.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,498,3,government,yes,normal,2,2,condominium,Selangor,7,28.0,Accept
499,High Loan Amount,23.0,15.0,6.0,2.0,1.0,12.0,3.0,Low Salary,Average Sum of Loan,Average Income for Join Application,499,3,government,no,gold,2,1,condominium,Selangor,6,38.0,Accept
500,Low Loan Amount,13.0,15.0,2.0,3.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,500,6,Self_Employed,yes,gold,2,2,condominium,Selangor,6,28.0,Accept
501,Average Loan Amount,23.0,10.0,2.0,3.0,1.0,12.0,3.0,High Salary,High Sum of Loan,Average Income for Join Application,501,6,Self_Employed,no,gold,2,2,condominium,Selangor,7,33.0,Accept
502,Low Loan Amount,15.0,10.0,4.0,3.0,1.0,12.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,502,6,Self_Employed,yes,normal,2,3,condominium,Selangor,9,25.0,Accept
503,Low Loan Amount,17.0,10.0,2.0,2.0,1.0,12.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,503,6,Self_Employed,no,platinum,2,3,condominium,Selangor,7,27.0,Accept
504,Average Loan Amount,11.0,10.0,2.0,3.0,1.0,12.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,504,6,Self_Employed,yes,platinum,2,2,condominium,Selangor,9,21.0,Reject
505,High Loan Amount,20.0,10.0,2.0,2.0,1.0,12.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,505,6,Self_Employed,no,gold,2,1,condominium,Selangor,9,30.0,Accept
506,High Loan Amount,23.0,10.0,2.0,2.0,1.0,12.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,506,6,Self_Employed,yes,normal,2,3,condominium,Selangor,9,33.0,Accept
507,Average Loan Amount,18.0,10.0,2.0,2.0,1.0,12.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,507,6,Self_Employed,no,normal,2,2,condominium,Selangor,6,28.0,Accept
508,High Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,508,6,Self_Employed,yes,normal,2,1,condominium,Selangor,9,24.0,Accept
509,Average Loan Amount,15.0,10.0,2.0,2.0,1.0,12.0,2.0,Average Salary,Average Sum of Loan,Low Income for Join Application,509,6,Self_Employed,no,gold,2,2,condominium,Selangor,8,25.0,Accept
510,Low Loan Amount,17.0,10.0,2.0,3.0,1.0,12.0,3.0,High Salary,Low Sum of Loan,High Income for Join Application,510,6,Self_Employed,yes,normal,2,1,condominium,Selangor,6,27.0,Reject
511,High Loan Amount,12.0,10.0,2.0,2.0,1.0,12.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,511,6,Self_Employed,no,normal,2,3,condominium,Selangor,7,22.0,Accept
512,Low Loan Amount,10.0,10.0,3.0,2.0,1.0,12.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,512,6,Self_Employed,yes,gold,2,2,condominium,Selangor,6,20.0,Accept
513,Low Loan Amount,18.0,10.0,2.0,2.0,2.0,12.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,513,6,Self_Employed,no,normal,2,2,condominium,Selangor,8,28.0,Accept
514,Average Loan Amount,23.0,12.0,2.0,3.0,4.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,514,6,Self_Employed,yes,normal,2,2,condominium,Selangor,9,35.0,Reject
515,Average Loan Amount,19.0,15.0,3.0,2.0,1.0,12.0,2.0,High Salary,High Sum of Loan,Low Income for Join Application,515,6,Self_Employed,no,normal,2,1,condominium,Selangor,6,34.0,Reject
516,Average Loan Amount,20.0,9.0,2.0,3.0,1.0,12.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,516,6,Self_Employed,yes,gold,2,1,condominium,Selangor,8,29.0,Accept
517,Average Loan Amount,20.0,10.0,2.0,3.0,2.0,12.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,517,6,Self_Employed,no,platinum,2,2,condominium,Selangor,6,30.0,Reject
518,Low Loan Amount,20.0,10.0,4.0,2.0,1.0,12.0,3.0,Average Salary,High Sum of Loan,High Income for Join Application,518,6,Self_Employed,yes,normal,2,2,condominium,Selangor,8,30.0,Reject
519,Average Loan Amount,24.0,10.0,2.0,3.0,1.0,12.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,519,6,Self_Employed,no,normal,2,1,condominium,Selangor,8,34.0,Accept
520,Low Loan Amount,20.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,520,6,Self_Employed,yes,normal,2,2,condominium,Selangor,6,30.0,Accept
521,Average Loan Amount,24.0,10.0,4.0,3.0,2.0,12.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,521,6,Self_Employed,no,normal,2,3,condominium,Selangor,7,34.0,Accept
522,Low Loan Amount,10.0,15.0,2.0,3.0,1.0,12.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,522,6,Self_Employed,yes,normal,2,1,condominium,Selangor,8,25.0,Accept
523,Average Loan Amount,20.0,10.0,3.0,3.0,1.0,12.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,523,6,Self_Employed,no,normal,2,1,condominium,Selangor,7,30.0,Accept
524,Average Loan Amount,19.0,10.0,2.0,3.0,2.0,12.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,524,6,Self_Employed,yes,gold,2,1,condominium,Selangor,9,29.0,Accept
525,Average Loan Amount,20.0,10.0,3.0,3.0,1.0,11.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,525,6,Self_Employed,no,normal,2,2,condominium,Selangor,6,30.0,Reject
526,Low Loan Amount,10.0,16.0,2.0,3.0,2.0,12.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,526,6,Self_Employed,yes,gold,2,2,condominium,Selangor,8,26.0,Accept
527,High Loan Amount,24.0,15.0,2.0,2.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,527,6,Self_Employed,no,normal,2,1,condominium,Selangor,9,39.0,Accept
528,Low Loan Amount,19.0,10.0,4.0,2.0,1.0,12.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,528,6,Self_Employed,yes,gold,2,3,condominium,Selangor,9,29.0,Accept
529,Low Loan Amount,18.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,529,6,Self_Employed,no,normal,2,1,condominium,Selangor,9,28.0,Accept
530,Low Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,530,6,Self_Employed,yes,normal,2,2,condominium,Selangor,9,24.0,Accept
531,Low Loan Amount,19.0,10.0,2.0,3.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,531,6,Self_Employed,no,platinum,2,2,condominium,Selangor,6,29.0,Accept
532,Average Loan Amount,17.0,10.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,532,6,Self_Employed,yes,normal,2,3,condominium,Selangor,6,27.0,Accept
533,High Loan Amount,14.0,10.0,2.0,3.0,1.0,12.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,533,6,Self_Employed,no,platinum,2,3,condominium,Selangor,9,24.0,Accept
534,High Loan Amount,21.0,10.0,2.0,3.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,534,6,Self_Employed,yes,normal,2,3,condominium,Selangor,6,31.0,Accept
535,High Loan Amount,21.0,13.0,2.0,2.0,1.0,12.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,535,6,Self_Employed,no,platinum,2,3,condominium,Selangor,8,34.0,Accept
536,High Loan Amount,18.0,10.0,2.0,3.0,1.0,12.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,536,6,Self_Employed,yes,platinum,2,3,condominium,Selangor,7,28.0,Accept
